,seq_id,baseline,label
0,14530,3,disagreed
1,14016,2,disagreed
2,14651,3,4
3,14677,1,2
4,15015,3,disagreed
5,14393,0,disagreed
6,14961,3,disagreed
7,14892,0,disagreed
8,14333,5,disagreed
9,14766,2,disagreed
10,14505,4,disagreed
11,14603,5,5
12,13636,1,disagreed
13,13679,1,disagreed
14,13626,5,disagreed
15,14299,3,disagreed
16,14639,0,disagreed
17,15036,4,disagreed
18,14648,1,2
19,13759,0,disagreed
20,13994,4,5
21,13605,5,5
22,14029,0,disagreed
23,14358,4,5
24,14516,0,disagreed
25,14638,4,disagreed
26,13939,0,0
27,14012,0,disagreed
28,14636,3,3
29,13879,0,1/2
30,14251,2,disagreed
31,14438,2,2/3
32,13674,0,disagreed
33,14050,4,5
34,13641,2,disagreed
35,13643,3,disagreed
36,13668,4,disagreed
37,14471,0,2
38,14481,1,disagreed
39,14882,2,disagreed
40,14346,2,disagreed
41,14358,0,1
42,13685,1,disagreed
43,13691,0,disagreed
44,13908,0,disagreed
45,13981,0,0
46,13852,1,1
47,14285,5,5
48,13651,3,disagreed
49,14712,2,disagreed
50,14994,0,disagreed
51,14357,3,disagreed
52,14932,0,disagreed
53,13825,2,disagreed
54,14183,0,1/2
55,14852,5,disagreed
56,14363,5,2
57,14164,4,disagreed
58,14738,3,disagreed
59,14082,5,5
60,14804,5,5
61,13986,3,disagreed
62,14717,0,disagreed
63,14664,4,5
64,14679,2,disagreed
65,14429,3,disagreed
66,14154,1,disagreed
67,13749,2,disagreed
68,13608,4,disagreed
69,13898,3,disagreed
70,13673,1,2
71,13995,4,5
72,13750,4,disagreed
73,14742,0,disagreed
74,14464,4,5
75,13670,1,disagreed
76,14590,2,disagreed
77,14912,5,disagreed
78,14983,0,disagreed
79,14666,2,disagreed
80,14108,0,disagreed
81,14473,1,disagreed
82,14496,4,disagreed
83,13918,2,disagreed
84,14660,4,5
85,13870,1,2
86,13850,1,disagreed
87,14232,2,disagreed
88,14601,3,disagreed
89,13626,3,3
90,13688,2,3
91,14188,3,4/5
92,14032,0,disagreed
93,13982,3,disagreed
94,14600,5,5
95,13691,5,4
96,14146,3,disagreed
97,13600,2,disagreed
98,14602,1,disagreed
99,14542,3,disagreed
100,14443,4,disagreed
101,14522,5,disagreed
102,14726,5,unsure
103,14692,1,disagreed
104,14787,1,disagreed
105,14284,0,disagreed
106,14645,4,disagreed
107,15027,0,disagreed
108,15014,0,disagreed
109,14522,3,disagreed
110,14498,2,2/3/4
111,13885,1,2
112,13803,4,disagreed
113,14933,2,unsure
114,14335,4,disagreed
115,14976,5,disagreed
116,14898,3,disagreed
117,14484,2,disagreed
118,13697,1,2
119,14294,3,disagreed
120,14345,3,disagreed
121,13975,3,disagreed
122,14750,0,disagreed
123,14406,5,5
124,14952,2,unsure
125,14435,2,2/3
126,14611,1,disagreed
127,14994,2,unsure
128,14663,5,5
129,14566,5,5
130,14955,0,disagreed
131,13822,0,disagreed
132,14123,0,1
133,15011,2,disagreed
134,13767,0,disagreed
135,14880,2,3
136,14273,3,4/5
137,13681,0,disagreed
138,14513,2,disagreed
139,13607,1,0/1/2
140,14193,1,disagreed
141,14436,3,5
142,14694,4,disagreed
143,14346,1,disagreed
144,14751,3,unsure
145,14994,3,disagreed
146,14050,1,2
147,13706,0,1
148,14121,0,disagreed
149,14779,2,disagreed
150,15017,4,unsure
151,13791,1,disagreed
152,14037,0,1
153,14406,0,disagreed
154,14194,1,disagreed
155,13670,0,disagreed
156,14668,2,disagreed
157,14093,3,disagreed
158,14838,1,disagreed
159,13589,2,3
160,14794,4,disagreed
161,14868,4,disagreed
162,13933,5,disagreed
163,14365,2,disagreed
164,14621,3,4
165,14469,2,disagreed
166,14091,2,3
167,14799,2,3
168,14101,4,disagreed
169,14462,3,4
170,14148,1,2
171,14303,5,disagreed
172,14569,0,disagreed
173,14486,4,5
174,13777,4,disagreed
175,14218,0,0/1
176,14816,5,disagreed
177,13952,3,disagreed
178,13623,5,4/5
179,14587,1,2/3
180,13813,1,2
181,14288,4,disagreed
182,14472,4,5
183,14193,2,3
184,14456,5,disagreed
185,14672,1,disagreed
186,13976,4,unsure
187,14118,3,4
188,14752,4,unsure
189,14019,3,4
190,14512,5,5
191,14852,1,disagreed
192,13700,5,5
193,14079,4,5
194,14334,1,disagreed
195,14222,0,3
196,14347,1,disagreed
197,14626,2,disagreed
198,13673,3,disagreed
199,13896,3,disagreed
200,13811,4,disagreed
201,14388,5,disagreed
202,14379,1,disagreed
203,14960,4,unsure
204,13672,5,disagreed
205,14349,0,disagreed
206,14361,4,disagreed
207,14515,3,5
208,14324,5,disagreed
209,13804,1,disagreed
210,14039,5,disagreed
211,14733,5,disagreed
212,14267,4,5
213,14392,4,disagreed
214,14660,1,3
215,14282,5,5
216,14368,1,disagreed
217,13635,2,disagreed
218,13818,5,disagreed
219,15036,1,disagreed
220,14464,0,1
221,14249,0,0
222,14283,0,disagreed
223,14996,1,disagreed
224,14310,1,disagreed
225,14082,3,disagreed
226,14715,5,unsure
227,14871,2,disagreed
228,14736,2,disagreed
229,14445,3,disagreed
230,14230,0,disagreed
231,14609,2,3
232,14109,3,4/5
233,14031,3,disagreed
234,13613,5,4/5
235,14619,5,5
236,13591,0,disagreed
237,14426,5,5
238,13776,3,disagreed
239,14142,5,5
240,14006,0,1
241,13889,1,2
242,13997,4,5
243,14112,0,1
244,14212,1,2
245,14147,3,disagreed
246,14622,3,disagreed
247,14197,5,0
248,13828,1,disagreed
249,14231,5,disagreed
250,13756,4,4
251,14033,3,4
252,14455,3,disagreed
253,14469,4,5
254,14433,3,4
255,13965,3,disagreed
256,14908,0,disagreed
257,14260,4,5
258,14972,5,disagreed
259,14971,5,unsure
260,14845,0,disagreed
261,13661,1,disagreed
262,13835,0,disagreed
263,14592,5,disagreed
264,14811,0,disagreed
265,14422,3,4
266,14695,5,disagreed
267,13884,4,disagreed
268,13604,3,disagreed
269,14189,3,disagreed
270,14291,3,disagreed
271,14301,4,5
272,14165,0,disagreed
273,14444,3,0
274,14339,2,2
275,14879,1,0
276,14410,0,1
277,14117,2,disagreed
278,14044,1,disagreed
279,14300,5,5
280,13659,3,disagreed
281,14138,4,5
282,14060,4,disagreed
283,14268,3,disagreed
284,13789,5,unsure
285,14691,2,disagreed
286,13634,1,disagreed
287,14869,1,disagreed
288,14285,4,5
289,13722,1,1
290,14690,0,disagreed
291,14025,5,5
292,14436,4,disagreed
293,13617,3,disagreed
294,14188,5,5
295,14041,3,disagreed
296,14856,5,disagreed
297,13725,2,disagreed
298,14066,4,5
299,14381,4,5
300,14161,0,1/2
301,14351,5,disagreed
302,14509,5,5
303,13695,5,disagreed
304,14642,2,disagreed
305,14502,5,disagreed
306,13822,4,4/5
307,14169,2,disagreed
308,14548,0,disagreed
309,14686,4,5
310,14150,0,disagreed
311,15004,3,disagreed
312,14368,4,5
313,14099,2,disagreed
314,13817,1,disagreed
315,13868,4,5
316,14157,3,disagreed
317,14034,2,disagreed
318,13767,1,1
319,14648,2,disagreed
320,14727,0,disagreed
321,14982,3,disagreed
322,14761,0,disagreed
323,14360,3,3/4
324,14978,0,disagreed
325,14229,5,disagreed
326,13653,1,disagreed
327,13741,1,disagreed
328,14549,1,disagreed
329,14943,0,disagreed
330,14278,0,disagreed
331,13928,3,3
332,14463,5,disagreed
333,14890,1,disagreed
334,14259,2,3
335,13667,0,disagreed
336,13983,3,disagreed
337,14970,1,disagreed
338,13686,4,5
339,13876,0,disagreed
340,14475,2,3
341,14134,0,disagreed
342,14918,0,disagreed
343,13987,5,5
344,13638,2,disagreed
345,13887,2,disagreed
346,14944,0,1
347,14261,2,disagreed
348,13951,2,disagreed
349,14007,0,1
350,13596,5,disagreed
351,14199,5,5
352,14254,1,disagreed
353,14542,1,disagreed
354,14239,0,disagreed
355,14668,3,disagreed
356,14283,5,5
357,14697,4,disagreed
358,14708,2,disagreed
359,14098,0,disagreed
360,14599,2,3
361,14013,3,4
362,14513,5,disagreed
363,13835,1,disagreed
364,14036,4,disagreed
365,14418,1,disagreed
366,13595,3,disagreed
367,14964,4,unsure
368,14682,3,3
369,13616,3,disagreed
370,14371,4,5
371,14641,2,3
372,14349,3,disagreed
373,14910,5,5
374,14810,0,1
375,13730,3,disagreed
376,14189,1,disagreed
377,14347,2,disagreed
378,14429,5,5
379,14102,2,disagreed
380,14906,3,disagreed
381,13753,2,disagreed
382,14305,3,disagreed
383,13808,0,disagreed
384,14592,4,disagreed
385,13699,1,2
386,13807,3,4/5
387,13900,1,2
388,13656,2,disagreed
389,13698,0,disagreed
390,15039,5,disagreed
391,14356,3,disagreed
392,14806,5,disagreed
393,14106,0,1
394,14296,5,5
395,14653,5,disagreed
396,14921,4,5
397,14822,1,disagreed
398,13590,1,1
399,14709,3,disagreed
400,14951,1,disagreed
401,13768,3,3/4/5
402,14766,0,disagreed
403,14732,3,disagreed
404,14695,3,disagreed
405,14524,2,disagreed
406,13945,2,3
407,13739,4,disagreed
408,14993,2,disagreed
409,14630,3,disagreed
410,14373,0,disagreed
411,14974,2,unsure
412,14202,3,4
413,14762,2,disagreed
414,13806,4,disagreed
415,14249,5,5
416,14959,1,unsure
417,14586,2,disagreed
418,13909,2,3
419,14519,3,disagreed
420,14603,4,5
421,13785,3,disagreed
422,14583,2,disagreed
423,14705,2,disagreed
424,13780,1,disagreed
425,14942,2,disagreed
426,13719,1,disagreed
427,14528,4,5
428,14590,4,disagreed
429,13591,5,disagreed
430,14606,1,2
431,14284,1,2
432,14823,2,3
433,14957,2,disagreed
434,14376,4,5
435,14015,5,5
436,14336,5,5
437,13737,1,disagreed
438,14995,2,disagreed
439,14381,0,disagreed
440,13801,2,disagreed
441,14640,2,3
442,14747,4,disagreed
443,14403,3,5
444,14808,1,disagreed
445,14856,3,disagreed
446,14734,2,disagreed
447,14072,1,2
448,13752,2,2
449,13869,3,4
450,13879,5,5
451,14903,4,2/3
452,14490,0,disagreed
453,14309,4,disagreed
454,14296,0,disagreed
455,14762,0,disagreed
456,14303,3,4/5
457,14753,1,disagreed
458,14527,5,disagreed
459,13755,3,disagreed
460,14720,2,disagreed
461,13648,3,4
462,14166,5,disagreed
463,13586,4,disagreed
464,14363,4,disagreed
465,13963,4,disagreed
466,14686,1,2
467,14352,2,disagreed
468,14693,2,disagreed
469,13808,5,5
470,14434,5,disagreed
471,14575,4,disagreed
472,14092,5,5
473,13931,4,disagreed
474,13934,5,disagreed
475,14496,5,5
476,13632,4,disagreed
477,14861,1,disagreed
478,13895,2,disagreed
479,15018,1,unsure
480,14369,1,1/2
481,13745,1,disagreed
482,14133,5,disagreed
483,13832,5,5
484,14032,1,2
485,14938,2,disagreed
486,14756,3,disagreed
487,13712,4,5
488,14923,0,disagreed
489,13983,1,0
490,14183,2,2/3
491,14003,1,disagreed
492,14161,3,disagreed
493,13900,5,disagreed
494,14233,3,3/4/5
495,14208,0,1
496,14263,5,5
497,14924,4,disagreed
498,14192,2,3
499,14673,0,disagreed
500,14450,4,disagreed
501,14064,4,disagreed
502,14089,1,disagreed
503,13985,3,disagreed
504,13812,3,2/3
505,14500,5,disagreed
506,14380,5,disagreed
507,15019,4,disagreed
508,13942,4,disagreed
509,13662,5,disagreed
510,14223,2,disagreed
511,13592,5,disagreed
512,14444,2,2
513,13671,2,5
514,14323,0,disagreed
515,14922,0,disagreed
516,14520,1,disagreed
517,14822,2,disagreed
518,14852,2,disagreed
519,14008,3,disagreed
520,14635,4,disagreed
521,14607,5,3
522,13690,3,5
523,14476,3,1
524,13926,2,disagreed
525,14035,2,disagreed
526,14677,2,disagreed
527,13777,0,1
528,13912,1,4
529,13585,5,disagreed
530,13703,4,1
531,14892,5,disagreed
532,13585,3,disagreed
533,14484,0,1/2
534,13693,2,disagreed
535,13985,0,5
536,13991,3,disagreed
537,14085,4,disagreed
538,14824,1,disagreed
539,13919,2,disagreed
540,13816,3,3
541,14941,5,disagreed
542,14582,5,disagreed
543,14275,5,5
544,13878,1,0
545,14512,1,disagreed
546,14798,5,5
547,14925,4,1
548,14293,2,disagreed
549,14081,2,disagreed
550,14035,0,disagreed
551,14878,0,disagreed
552,13973,0,disagreed
553,13849,4,disagreed
554,14732,4,disagreed
555,14893,5,disagreed
556,13962,4,2
557,15031,0,unsure
558,14575,2,disagreed
559,15041,3,5
560,14087,1,5
561,13776,2,disagreed
562,14025,0,disagreed
563,13931,0,5
564,13858,1,4
565,14364,5,5
566,13806,3,disagreed
567,14397,4,5
568,14124,1,disagreed
569,14895,1,5
570,14317,4,5
571,14383,4,disagreed
572,14174,1,disagreed
573,14847,4,disagreed
574,14664,2,disagreed
575,13893,0,disagreed
576,14368,2,5
577,14017,3,5
578,14950,2,disagreed
579,14028,4,disagreed
580,14686,5,disagreed
581,14220,2,disagreed
582,13738,4,disagreed
583,14911,1,disagreed
584,13750,3,4
585,14951,0,3
586,14388,2,1
587,14431,5,disagreed
588,14793,0,2
589,13753,1,5
590,14635,2,3
591,15034,4,disagreed
592,14534,1,disagreed
593,14064,0,disagreed
594,13964,3,disagreed
595,14421,2,disagreed
596,13940,5,1
597,14758,0,disagreed
598,14619,4,4
599,13899,0,5
600,14177,2,disagreed
601,14142,2,disagreed
602,14005,5,unsure
603,14465,5,disagreed
604,13849,0,disagreed
605,13592,0,disagreed
606,14411,2,disagreed
607,13884,2,disagreed
608,13823,5,disagreed
609,14382,3,2
610,13979,3,disagreed
611,14048,2,disagreed
612,13726,3,disagreed
613,13588,0,4/5
614,14398,1,unsure
615,14849,4,unsure
616,14827,0,disagreed
617,13986,1,disagreed
618,14315,4,3
619,14167,1,disagreed
620,13788,3,disagreed
621,14705,1,2
622,14154,0,disagreed
623,14071,0,4/5
624,13965,2,5
625,13581,0,5
626,14204,4,disagreed
627,14741,1,2
628,14614,3,3/4/5
629,14337,0,5
630,14859,4,disagreed
631,13582,0,disagreed
632,14358,1,5
633,14525,1,5
634,14391,3,5
635,13923,1,disagreed
636,14595,1,disagreed
637,14556,1,0/1
638,14180,2,disagreed
639,14661,0,2
640,14668,1,disagreed
641,14245,4,4/5
642,14467,2,disagreed
643,13984,0,4
644,14978,3,disagreed
645,14588,1,3
646,13963,3,5
647,13590,0,4/5
648,14120,1,3
649,13915,1,unsure
650,13771,1,4/5
651,13615,5,disagreed
652,14225,2,1
653,14616,0,3
654,14477,3,disagreed
655,14768,5,disagreed
656,14381,5,disagreed
657,14702,3,2/3
658,13688,4,4/5
659,13620,1,disagreed
660,13598,2,disagreed
661,14811,1,5
662,14529,4,5
663,14799,3,3
664,14671,3,disagreed
665,13639,0,unsure
666,14074,1,unsure
667,14247,4,4
668,13737,2,disagreed
669,14886,5,disagreed
670,14273,1,disagreed
671,13671,3,disagreed
672,14977,5,disagreed
673,13926,3,disagreed
674,14646,1,disagreed
675,15023,0,disagreed
676,14011,3,disagreed
677,13666,0,disagreed
678,13892,3,3
679,13605,0,5
680,13998,1,disagreed
681,14810,4,disagreed
682,14398,2,disagreed
683,14654,5,disagreed
684,14640,0,5
685,13723,2,disagreed
686,14611,2,1
687,14138,1,disagreed
688,14503,0,2
689,15012,2,5
690,13889,0,disagreed
691,14536,1,4
692,14873,3,5
693,14407,4,5
694,13696,5,5
695,14032,4,disagreed
696,14903,3,disagreed
697,14624,4,2
698,13610,1,disagreed
699,13830,0,disagreed
700,14867,5,disagreed
701,14775,4,disagreed
702,13907,1,disagreed
703,14310,4,disagreed
704,14410,2,disagreed
705,14669,0,disagreed
706,14532,5,disagreed
707,13709,4,0
708,14803,5,disagreed
709,14935,0,disagreed
710,13958,1,1
711,13663,0,disagreed
712,14318,2,disagreed
713,14341,3,disagreed
714,15001,5,2/3
715,14313,5,5
716,13871,2,5
717,14610,2,disagreed
718,13722,0,5
719,14806,3,disagreed
720,13942,3,5
721,13656,1,disagreed
722,13952,5,disagreed
723,14464,3,1
724,14297,4,disagreed
725,14624,2,disagreed
726,14742,3,disagreed
727,13841,2,5
728,14563,2,disagreed
729,14812,4,1
730,13901,3,disagreed
731,13756,5,4
732,14368,3,disagreed
733,14936,1,2
734,15023,3,disagreed
735,13947,0,disagreed
736,14595,3,disagreed
737,14999,0,disagreed
738,14937,2,5
739,14975,4,disagreed
740,14947,3,0
741,14820,2,disagreed
742,14850,1,3
743,13771,4,1/2
744,14350,5,disagreed
745,14820,5,disagreed
746,15043,5,disagreed
747,14272,3,disagreed
748,14442,1,disagreed
749,13775,4,disagreed
750,13798,1,3
751,14946,0,disagreed
752,13988,5,disagreed
753,14491,0,disagreed
754,13982,0,3
755,14641,3,disagreed
756,14276,2,disagreed
757,13638,4,1
758,14222,2,0/1/2
759,14783,2,5
760,13667,2,disagreed
761,14521,5,5
762,13888,3,disagreed
763,14563,3,disagreed
764,14334,4,disagreed
765,14915,4,2/3
766,14735,2,3
767,14443,1,disagreed
768,13685,3,unsure
769,14323,1,disagreed
770,13714,5,disagreed
771,15010,5,5
772,13677,3,disagreed
773,14069,3,1
774,13765,3,disagreed
775,13648,5,disagreed
776,14067,5,disagreed
777,13778,3,unsure
778,14814,2,disagreed
779,14877,2,disagreed
780,14134,1,3
781,14106,3,disagreed
782,13849,2,3/4/5
783,13871,0,disagreed
784,13815,5,disagreed
785,14451,4,disagreed
786,14511,3,disagreed
787,14654,1,2
788,14188,0,unsure
789,14366,0,disagreed
790,13693,5,2
791,14915,0,disagreed
792,13655,4,disagreed
793,14004,4,unsure
794,14851,0,disagreed
795,14089,0,2/3
796,14360,2,disagreed
797,13933,0,disagreed
798,14021,2,disagreed
799,13922,4,disagreed
800,13948,1,disagreed
801,13753,4,1
802,13993,2,disagreed
803,13996,4,disagreed
804,14241,0,disagreed
805,13670,4,disagreed
806,13893,4,disagreed
807,14212,5,disagreed
808,14144,2,disagreed
